n_fft,hop,seed,seg_acc,hard_acc,soft_acc,logsum_acc,maxconf_acc,median_acc,hard_f1,soft_f1,n_ties
512,128,42,0.7886666666666666,0.8466666666666667,0.8533333333333334,0.86,0.8533333333333334,0.86,0.8432894844255834,0.8488444926357641,2
512,128,123,0.7853333333333333,0.8666666666666667,0.8666666666666667,0.86,0.8533333333333334,0.8666666666666667,0.8635146462732669,0.8619064134789941,4
512,128,456,0.768,0.8533333333333334,0.86,0.8466666666666667,0.8133333333333334,0.84,0.8498381161848905,0.856491341991342,3
512,128,789,0.7806666666666666,0.82,0.8466666666666667,0.8466666666666667,0.8066666666666666,0.82,0.8203530341878507,0.8453352723514014,5
512,128,1024,0.786,0.8466666666666667,0.8533333333333334,0.8533333333333334,0.8,0.8533333333333334,0.8428586417030276,0.8503631244488897,1
512,256,42,0.7893333333333333,0.84,0.8666666666666667,0.88,0.84,0.8666666666666667,0.8370629730752089,0.8653684278684277,6
512,256,123,0.782,0.8666666666666667,0.8733333333333333,0.88,0.8333333333333334,0.8666666666666667,0.8632827105226994,0.8705375853853085,6
512,256,456,0.7873333333333333,0.86,0.8666666666666667,0.86,0.8133333333333334,0.88,0.857548671053235,0.8637824866086824,3
512,256,789,0.792,0.8733333333333333,0.8933333333333333,0.8866666666666667,0.86,0.88,0.871729797979798,0.8915885034197049,4
512,256,1024,0.7706666666666667,0.8466666666666667,0.86,0.86,0.8333333333333334,0.84,0.8459067183588875,0.857143764924469,4
512,512,42,0.76,0.8333333333333334,0.8333333333333334,0.84,0.84,0.8466666666666667,0.8322562242527237,0.8271532822016694,7
512,512,123,0.7606666666666667,0.8466666666666667,0.86,0.84,0.8066666666666666,0.86,0.8458035162526263,0.8560581682699289,5
512,512,456,0.7713333333333333,0.8333333333333334,0.86,0.86,0.8533333333333334,0.8466666666666667,0.8300587886495594,0.8567237519823727,3
512,512,789,0.7753333333333333,0.8733333333333333,0.86,0.8533333333333334,0.84,0.8733333333333333,0.8719995655479528,0.8565134972554327,7
512,512,1024,0.752,0.82,0.8333333333333334,0.8333333333333334,0.7866666666666666,0.8333333333333334,0.8148311339198436,0.8292617866004963,5
1024,128,42,0.7613333333333333,0.82,0.8533333333333334,0.8533333333333334,0.8266666666666667,0.86,0.8153011315932208,0.8480867321715486,4
1024,128,123,0.7926666666666666,0.8666666666666667,0.8666666666666667,0.86,0.8266666666666667,0.8733333333333333,0.8645781000572272,0.8646743563204664,4
1024,128,456,0.79,0.8466666666666667,0.8533333333333334,0.86,0.8266666666666667,0.86,0.8425819129373078,0.8487540987721254,4
1024,128,789,0.7966666666666666,0.8866666666666667,0.8866666666666667,0.88,0.86,0.8866666666666667,0.8869737733803198,0.8861807626276317,2
1024,128,1024,0.794,0.86,0.8866666666666667,0.8733333333333333,0.8666666666666667,0.88,0.8598187723365207,0.8856149109456707,3
1024,256,42,0.7933333333333333,0.8666666666666667,0.8733333333333333,0.8733333333333333,0.8466666666666667,0.8666666666666667,0.8634880576564147,0.8717974349425963,4
1024,256,123,0.7993333333333333,0.88,0.8866666666666667,0.9,0.86,0.8933333333333333,0.878964544746623,0.8859352055953673,5
1024,256,456,0.79,0.8666666666666667,0.8933333333333333,0.9,0.8533333333333334,0.8866666666666667,0.8635775433522932,0.8909634161413917,6
1024,256,789,0.7886666666666666,0.84,0.8733333333333333,0.8733333333333333,0.8066666666666666,0.86,0.8407015468119308,0.8753435913121512,2
1024,256,1024,0.7893333333333333,0.8466666666666667,0.8733333333333333,0.88,0.8133333333333334,0.86,0.8443926198014073,0.8709233263029148,2
1024,512,42,0.7853333333333333,0.86,0.86,0.86,0.8466666666666667,0.8533333333333334,0.8562462747877098,0.8546679613489958,0
1024,512,123,0.7986666666666666,0.8733333333333333,0.88,0.88,0.8533333333333334,0.8733333333333333,0.8715507624831711,0.8792038305867397,7
1024,512,456,0.7726666666666666,0.8466666666666667,0.8533333333333334,0.8533333333333334,0.8133333333333334,0.8466666666666667,0.843718234116716,0.8482457082220709,3
1024,512,789,0.806,0.8533333333333334,0.8866666666666667,0.8866666666666667,0.84,0.8733333333333333,0.8479609779665397,0.8859163059163061,5
1024,512,1024,0.774,0.8266666666666667,0.84,0.8333333333333334,0.7933333333333333,0.84,0.8230358652316057,0.8371202287186714,2
2048,128,42,0.792,0.8466666666666667,0.8466666666666667,0.8533333333333334,0.8333333333333334,0.84,0.8445113058088258,0.8362479669287068,4
