Unnamed: 0,512/128,512/256,512/512,1024/128,1024/256,1024/512,2048/128,2048/256,2048/512
512/128,1.0,1.0,1.0,1.0,0.2665,1.0,1.0,1.0,1.0
512/256,1.0,1.0,0.099,1.0,1.0,1.0,1.0,1.0,0.7089
512/512,1.0,0.099,1.0,1.0,0.0183,1.0,1.0,0.1156,1.0
1024/128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024/256,0.2665,1.0,0.0183,1.0,1.0,1.0,0.7089,1.0,0.1614
1024/512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2048/128,1.0,1.0,1.0,1.0,0.7089,1.0,1.0,1.0,1.0
2048/256,1.0,1.0,0.1156,1.0,1.0,1.0,1.0,1.0,0.7786
2048/512,1.0,0.7089,1.0,1.0,0.1614,1.0,1.0,0.7786,1.0
