Unnamed: 0,512/128,512/256,512/512,1024/128,1024/256,1024/512,2048/128,2048/256,2048/512
512/128,1.0,1.0,1.0,1.0,0.9218,1.0,0.2324,0.1172,1.0
512/256,1.0,1.0,1.0,1.0,1.0,1.0,0.8136,0.4442,1.0
512/512,1.0,1.0,1.0,0.3229,0.0456,0.5099,0.0075,0.0034,0.1172
1024/128,1.0,1.0,0.3229,1.0,1.0,1.0,1.0,1.0,1.0
1024/256,0.9218,1.0,0.0456,1.0,1.0,1.0,1.0,1.0,1.0
1024/512,1.0,1.0,0.5099,1.0,1.0,1.0,1.0,1.0,1.0
2048/128,0.2324,0.8136,0.0075,1.0,1.0,1.0,1.0,1.0,1.0
2048/256,0.1172,0.4442,0.0034,1.0,1.0,1.0,1.0,1.0,1.0
2048/512,1.0,1.0,0.1172,1.0,1.0,1.0,1.0,1.0,1.0
