Unnamed: 0,512/128,512/256,512/512,1024/128,1024/256,1024/512,2048/128,2048/256,2048/512
512/128,1.0,0.9999,0.9821,0.9748,0.7267,0.9917,0.372,0.2403,0.881
512/256,0.9999,1.0,0.8555,0.9994,0.94,0.9999,0.6891,0.5287,0.9876
512/512,0.9821,0.8555,1.0,0.4483,0.1239,0.5695,0.0278,0.0128,0.2403
1024/128,0.9748,0.9994,0.4483,1.0,0.9994,1.0,0.9656,0.9036,1.0
1024/256,0.7267,0.94,0.1239,0.9994,1.0,0.9967,0.9999,0.998,1.0
1024/512,0.9917,0.9999,0.5695,1.0,0.9967,1.0,0.9232,0.8271,0.9999
2048/128,0.372,0.6891,0.0278,0.9656,0.9999,0.9232,1.0,1.0,0.9967
2048/256,0.2403,0.5287,0.0128,0.9036,0.998,0.8271,1.0,1.0,0.9821
2048/512,0.881,0.9876,0.2403,1.0,1.0,0.9999,0.9967,0.9821,1.0
