n_fft,hop_length,seed,seg_acc,seg_f1,track_acc,track_f1,best_epoch,total_epochs,train_time_sec
512,128,42,0.7886666655540466,0.7833202635023049,0.8466666666666667,0.8432894844255834,84,94,320.6
512,128,123,0.7853333353996277,0.7808119883795259,0.8666666666666667,0.8635146462732669,94,104,341.9
512,128,456,0.7680000066757202,0.764891916605189,0.8533333333333334,0.8498381161848905,112,120,393.3
512,128,789,0.7806666493415833,0.7794607308189112,0.82,0.8203530341878507,96,106,350.4
512,128,1024,0.7860000133514404,0.7821827841195013,0.8466666666666667,0.8428586417030276,91,101,333.3
512,256,42,0.7893333435058594,0.7857697788071557,0.84,0.8370629730752089,106,116,969.9
512,256,123,0.7820000052452087,0.779328752524047,0.8666666666666667,0.8632827105226994,102,112,934.5
512,256,456,0.7873333096504211,0.7854469165780114,0.86,0.857548671053235,104,114,953.6
512,256,789,0.7919999957084656,0.7899441386183306,0.8733333333333333,0.871729797979798,102,112,942.7
512,256,1024,0.7706666588783264,0.7670391060960389,0.8466666666666667,0.8459067183588875,72,82,692.6
512,512,42,0.7599999904632568,0.7573935690400821,0.8333333333333334,0.8322562242527237,68,78,358.1
512,512,123,0.7606666684150696,0.7566429698922635,0.8466666666666667,0.8458035162526263,76,86,390.2
512,512,456,0.7713333368301392,0.7689089542729974,0.8333333333333334,0.8300587886495594,101,111,502.1
512,512,789,0.7753333449363708,0.7711157082359187,0.8733333333333333,0.8719995655479528,93,103,475.0
512,512,1024,0.7519999742507935,0.7452296557579654,0.82,0.8148311339198436,84,94,435.3
1024,128,42,0.7613333463668823,0.7532975008875645,0.82,0.8153011315932208,89,99,334.6
1024,128,123,0.7926666736602783,0.7882760949161869,0.8666666666666667,0.8645781000572272,97,107,351.5
1024,128,456,0.7900000214576721,0.7856822408810291,0.8466666666666667,0.8425819129373078,108,118,387.8
1024,128,789,0.79666668176651,0.7961885918442758,0.8866666666666667,0.8869737733803198,93,103,340.7
1024,128,1024,0.7940000295639038,0.7914145572316355,0.86,0.8598187723365207,92,102,337.5
1024,256,42,0.7933333516120911,0.789526005202241,0.8666666666666667,0.8634880576564147,85,95,196.0
1024,256,123,0.7993333339691162,0.797030188666124,0.88,0.878964544746623,105,115,233.3
1024,256,456,0.7900000214576721,0.7863119135021556,0.8666666666666667,0.8635775433522932,65,75,157.9
1024,256,789,0.7886666655540466,0.7865356216637305,0.84,0.8407015468119308,58,68,145.4
1024,256,1024,0.7893333435058594,0.787019211406988,0.8466666666666667,0.8443926198014073,69,79,166.3
1024,512,42,0.7853333353996277,0.7793965392764395,0.86,0.8562462747877098,70,80,120.5
1024,512,123,0.7986666560173035,0.7963373775560283,0.8733333333333333,0.8715507624831711,77,87,124.1
1024,512,456,0.7726666927337646,0.7688460563501947,0.8466666666666667,0.843718234116716,68,78,113.3
1024,512,789,0.8059999942779541,0.8014049437884421,0.8533333333333334,0.8479609779665397,81,91,130.1
1024,512,1024,0.7739999890327454,0.7684349653452544,0.8266666666666667,0.8230358652316057,83,93,132.4
2048,128,42,0.7919999957084656,0.7864927057615121,0.8466666666666667,0.8445113058088258,82,92,311.8
2048,128,123,0.7866666913032532,0.7813646545726851,0.8533333333333334,0.8491552990329408,85,95,312.5
2048,128,456,0.8013333082199097,0.7977495031412839,0.8533333333333334,0.8507983638225574,86,96,316.2
2048,128,789,0.812666654586792,0.8109258713805468,0.8866666666666667,0.8851164479960365,96,106,348.6
2048,128,1024,0.7946666479110718,0.789269989447603,0.8466666666666667,0.84052294158327,95,105,345.4
2048,256,42,0.7946666479110718,0.79240128349964,0.86,0.8579783434955848,67,77,166.6
2048,256,123,0.7973333597183228,0.7939466456553502,0.84,0.8376829214568042,80,90,184.6
2048,256,456,0.8100000023841858,0.8064656017278548,0.8733333333333333,0.8701701792122684,86,96,197.8
2048,256,789,0.7886666655540466,0.7825937598878261,0.84,0.8340192112844733,88,98,201.5
2048,256,1024,0.8046666383743286,0.8029721385191969,0.8533333333333334,0.8514417495959078,84,94,193.5
2048,512,42,0.7873333096504211,0.7855379355352027,0.8333333333333334,0.8301550738327712,70,80,121.4
2048,512,123,0.8040000200271606,0.8031438067016298,0.8733333333333333,0.8709683738994084,77,87,123.2
2048,512,456,0.800000011920929,0.7947744299538891,0.86,0.8546069035982665,86,96,135.8
2048,512,789,0.7713333368301392,0.7674349972043257,0.8266666666666667,0.8197471372713308,53,63,94.7
2048,512,1024,0.7946666479110718,0.792199274913977,0.82,0.8181231912322012,101,111,155.8
